"GEOID","NAME","acs","census","pep","lon","lat","worldpop","fb"
"21167","Mercer County, Kentucky",21272,21331,21308,-84.8754863283638,37.8101698070921,21374.0635760427,21273.4708867355
"21169","Metcalfe County, Kentucky",10130,10099,10147,-85.635914240097,36.9950972655271,10177.530022623,10019.367670932
"21171","Monroe County, Kentucky",11089,10963,10970,-85.7202268728913,36.7143579070264,11011.1718077082,10466.234408574
"21173","Montgomery County, Kentucky",25908,26499,26549,-83.9069682196527,38.0336898828473,26443.1874075308,28416.8875450661
"21175","Morgan County, Kentucky",14055,13923,13726,-83.2517157073114,37.9160579649304,13969.4991547428,13733.8080166534
"21177","Muhlenberg County, Kentucky",31541,31499,31657,-87.1399892431718,37.2129252120141,31541.3464740384,30875.1910356502
"21179","Nelson County, Kentucky",42523,43437,43629,-85.4853966352167,37.8088481468331,43333.3961658888,46124.8901735363
"21181","Nicholas County, Kentucky",7136,7135,7128,-84.0049957906084,38.3378659052563,7088.46812853217,7189.40254199866
"21183","Ohio County, Kentucky",23837,23842,23834,-86.8491008184296,37.477627374769,23912.6717141054,23977.4062238974
"21185","Oldham County, Kentucky",58784,60316,60437,-85.4556202203754,38.3920760596787,60609.2656788081,67930.9005262698
"21187","Owen County, Kentucky",10928,10841,10850,-84.8205977147272,38.5073583037245,10815.172621958,10844.0553835882
"21189","Owsley County, Kentucky",4742,4755,4748,-83.6791258616895,37.4224626028863,4742.64197827096,4644.43391530457
"21191","Pendleton County, Kentucky",14894,14877,14915,-84.351512013838,38.6904389684886,14743.7225940898,14931.1265815952
"21193","Perry County, Kentucky",28739,28712,28669,-83.2129019453697,37.247439522943,28582.5447492711,27751.4807451419
"21195","Pike County, Kentucky",65309,65024,65074,-82.3910650388887,37.4685684197814,64779.612861529,62214.5425127026
"21197","Powell County, Kentucky",12786,12613,12643,-83.8218976917169,37.8316551464938,12600.3825106919,12160.6497771007
"21199","Pulaski County, Kentucky",62062,63063,63190,-84.5597452222761,37.1101606939491,63012.5489209578,65967.4182227633
"21201","Robertson County, Kentucky",2278,2282,2275,-84.036132393533,38.5159132036444,2307.34769541025,2265.61960428813
"21203","Rockcastle County, Kentucky",17075,17056,17081,-84.3135653701007,37.3666783859731,17012.50915372,16954.5685266136
"21205","Rowan County, Kentucky",23075,23333,23376,-83.4030041596487,38.2007896366294,23391.1985484073,23684.638054797
"21207","Russell County, Kentucky",17445,17565,17573,-85.0658279924561,36.979427693636,17573.4241059683,18020.7403177356
"21209","Scott County, Kentucky",44868,47173,47274,-84.5791679418541,38.2855096803197,47086.327804476,55738.8042533629
"21211","Shelby County, Kentucky",40899,42074,42189,-85.197497645398,38.2067170910872,42066.5083663389,46676.7742674342
"21213","Simpson County, Kentucky",17214,17327,17336,-86.5796568396381,36.7414397154142,17472.8991902322,17587.5981110669
"21215","Spencer County, Kentucky",16582,17061,17201,-85.3233300135984,38.0270740634332,16891.1430209726,20330.3662518202
"21217","Taylor County, Kentucky",24247,24512,24673,-85.3366688401719,37.3601659570903,24326.7550427541,25065.225260861
"21219","Todd County, Kentucky",12307,12460,12432,-87.1753561477426,36.8340996343527,12725.362422796,12543.535351659
"21221","Trigg County, Kentucky",14117,14339,14322,-87.8701233346164,36.8038046118575,14348.5131199436,15067.0917858171
"21223","Trimble County, Kentucky",8872,8809,8812,-85.3450441460093,38.6031934762342,8876.10741500556,9030.9314393027
"21225","Union County, Kentucky",15077,15007,15276,-87.944614453566,37.6547755368301,14980.6607884065,14620.1086983315
"21227","Warren County, Kentucky",109775,113792,114341,-86.4201969171203,36.9977217929564,113828.215165399,123883.988726214
"21229","Washington County, Kentucky",11593,11717,11695,-85.1783839785374,37.7601273593511,11759.0608294308,11993.9831022977
"21231","Wayne County, Kentucky",20716,20813,20850,-84.8243502251642,36.8061112963191,20809.335107706,21004.7541369101
"21233","Webster County, Kentucky",13734,13621,13579,-87.6795910987949,37.5168233427995,13482.4758720119,13212.3196227409
"21235","Whitley County, Kentucky",36006,35637,35718,-84.1459500245664,36.7588597277119,35766.0235551386,35088.7980395421
"21237","Wolfe County, Kentucky",7315,7355,7361,-83.4871865143167,37.7401080822499,7260.43808329105,7355.04635917245
"21239","Woodford County, Kentucky",24523,24939,25040,-84.7434549569682,38.0353227860361,25154.9386083186,25520.2899838819
"22001","Acadia Parish, Louisiana",61139,61773,61877,-92.4071602007225,30.2990919739947,63124.0313320025,62549.3191749767
"22003","Allen Parish, Louisiana",25816,25764,25702,-92.8236415404731,30.6553211541676,25413.1057595802,25624.2037400852
"22005","Ascension Parish, Louisiana",102501,107215,107890,-90.9137089367191,30.2023440809869,106951.363567132,125294.671739912
"22007","Assumption Parish, Louisiana",23487,23421,23333,-91.0660959367084,29.9031925066413,23731.369149738,23183.6909512504
"22009","Avoyelles Parish, Louisiana",42013,42073,42106,-92.0056509529054,31.0800913864493,42095.8476485903,41618.4306834461
"22011","Beauregard Parish, Louisiana",35000,35654,35831,-93.3489627477331,30.6551121885849,35775.378983662,36420.8811939465
"22013","Bienville Parish, Louisiana",14546,14353,14306,-93.0484688900898,32.3501944215807,14185.0777377642,12546.4514506495
"22015","Bossier Parish, Louisiana",113837,116979,117675,-93.6046464400351,32.681364434344,117930.488544788,109271.628288537
"22017","Caddo Parish, Louisiana",253048,254969,255590,-93.8884327797248,32.5912473883289,253904.878559364,225739.690890707
"22019","Calcasieu Parish, Louisiana",189134,192768,193026,-93.3489356999962,30.2369758138058,192769.087451706,195295.842835865
